RMSE,Num_Points,Density,LBP,Class
0.06275752351384652,9,0.072,52,50
0.3006335783545849,11,0.088,51,50
0.27380680654078365,14,0.112,31,50
0.03985874085451395,10,0.08,7,50
5.044626894430804e-05,8,0.064,41,50
1.8193773226383482e-05,5,0.04,51,50
1.938713596345149e-09,3,0.024,0,50
1.4035341595539097e-10,3,0.024,49,50
1.768879843196795e-06,4,0.032,58,50
0.02705196572595013,6,0.048,48,50
0.043290354852242634,10,0.08,53,50
0.030789261809411356,9,0.072,23,50
0.035022853619612014,10,0.08,12,50
0.0333226227263865,12,0.096,20,50
0.03171071255710723,12,0.096,0,50
0.057755227848216704,10,0.08,56,50
0.019828631614176192,9,0.072,43,50
0.03123650673326812,6,0.048,23,50
0.30767103416975394,23,0.184,15,50
0.2811875578894686,19,0.152,38,50
7.582668067603363e-05,9,0.072,59,50
0.014327168797042851,4,0.032,35,50
0.03452398208292955,4,0.032,32,50
3.9659922862015737e-08,3,0.024,22,50
3.7609919072608314e-08,3,0.024,62,50
0.029945124691644624,4,0.032,3,50
0.015749621024332503,4,0.032,1,50
0.009105159539740764,8,0.064,50,50
0.020384897291311804,11,0.088,62,50
0.015115987910993497,12,0.096,51,50
0.04410264860031389,7,0.056,27,50
0.11981920102522334,15,0.12,17,50
0.07091037666533113,15,0.12,55,50
0.039298716138809364,12,0.096,41,50
0.032375023493739594,13,0.104,30,50
2.5838333029632702e-05,4,0.032,55,50
7.334448295195735e-05,7,0.056,48,50
0.10928987773674814,8,0.064,63,50
0.3111361052565933,19,0.152,49,50
0.013206490293972672,10,0.08,20,50
0.009380767309699915,5,0.04,32,50
6.298712001725334e-07,6,0.048,18,50
1.054838608536098e-06,5,0.04,50,50
0.020430165766550625,4,0.032,8,50
0.04180149677731857,7,0.056,7,50
0.009640735424988348,7,0.056,32,50
0.04219330097807144,13,0.104,27,50
0.038200043317041445,9,0.072,52,50
0.07018588572446623,11,0.088,25,50
0.0939986096078668,16,0.128,10,50
0.04732940115059156,17,0.136,13,50
0.030297152758423897,11,0.088,4,50
0.04210975204769739,13,0.104,62,50
0.23731468749140164,16,0.128,32,50
0.30598172479096475,13,0.104,51,50
0.14600589112021128,9,0.072,61,50
0.14781444951532213,12,0.096,0,50
5.512847077818261e-06,4,0.032,52,50
5.007715329123865e-19,3,0.024,43,50
0.036631058963121806,6,0.048,6,50
0.005065339990596503,4,0.032,45,50
6.292817781676045e-08,3,0.024,44,50
0.03831330403090239,8,0.064,23,50
0.02270457762128193,10,0.08,16,50
0.014021991964380897,6,0.048,50,50
0.1006218206139203,10,0.08,21,50
0.08290681271471147,13,0.104,60,50
0.02985256174996428,15,0.12,1,50
0.04078446924799542,16,0.128,20,50
0.03475915062967056,11,0.088,37,50
0.025930056729556287,16,0.128,34,50
0.023799529989421534,12,0.096,5,50
0.02125298725996841,16,0.128,61,50
0.04060588353643149,10,0.08,63,50
7.941131216348864e-08,3,0.024,16,50
0.1585698780952765,4,0.032,62,50
0.22877948956870536,13,0.104,30,50
7.70826399537297e-06,4,0.032,63,50
7.671537667361022e-07,4,0.032,25,50
0.00014013566622505508,6,0.048,0,50
0.707708216552312,8,0.064,4,50
0.04820544495686004,7,0.056,57,50
0.03687467904072619,12,0.096,11,50
